初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|front|英[frʌnt] 美[frʌnt]|n. 正面；前面；前线；【气象学】锋<br>vt. 朝向；面对；对付<br>vi. 面朝；掩护<br>adj. 前面的|The front of the postcard shows a picture of our hotel.<br>Put the statue so that the front faces the light.<br>The front of the building was covered with ivy.<br>The car in front of me stopped suddenly and I had to brake.<br>That morning we received a report from the front.<br>This building fronts the railway station.<br>Attractive gardens fronted the houses.<br>We may argue among ourselves, but against the management we must present a united front.<br>The hotels front onto the sea.<br>Someone else will front for him in court.<br>The man sitting in front of me is asleep.<br>Can you see a red car in front of that house?|明信片正面是我们旅馆的图片。<br>把雕像摆好，让正面向著光。<br>建筑物的前面爬满了常春藤。<br>我前面那辆小汽车突然停住，我只好刹车。<br>那天早上，我们收到了从前线送来的一份报告。<br>这栋建筑面朝火车站。<br>这些房子的前面都有漂亮的花园<br>我们内部不妨有争论，但对付资方我们必须团结一致。<br>这些宾馆都是面朝大海。<br>别人将为他在法庭上辩护。<br>坐在我前面的人在睡觉。<br>你能看到那所房子前面的一辆红色汽车吗？|初中英语单词
初中英语单词|left|英[left] 美[left]|adj. 左边的<br>adv. 向左<br>n. 左边；左派分子；【体】左手拳<br>动词 leave 的过去式和过去分词形式。|Do you always write left-handed?<br>He supports the left wing of the Labour Party.<br>As a result of a serious illness, she couldn't move her left leg.<br>Britain cars are driven on the left.<br>She was sitting immediately to my left.<br>Many members of the left have been arrested.<br>He knocked down his opponent with a powerful left.|你一向用左手写字吗？<br>他支持工党中的左翼。<br>患重病后，她的左腿不能动了。<br>在英国汽车靠左侧行驶。<br>她挨着我坐在我的左边。<br>许多左派成员被捕。<br>他一记有力的左手拳将对手击倒。|初中英语单词
初中英语单词|side|英[saɪd] 美[saɪd]|n. 边；侧；边缘；侧面；（多边形的）边；（立体的）面；一方；方面；旁边；家族<br>adj. 旁的；次要的<br>v. 站在…的一边；支持|My house is the ninth on the right side.<br>The park is just on the left side of this street.<br>We planted tulips along the side of the lawn.<br>The side of the boat had been staved in.<br>A square has four sides but a circle has no sides.<br>A cube has six sides.<br>I am always the winning side.<br>He took neither side in the dispute.<br>She argued her side of the case well.<br>The grandfather on his mother's side is still living.<br>He came in through a side door to avoid the crowds.<br>The teacher would like to discuss this side issue later.<br>She always sided with my brother.<br>Why do you always side against me ?|我的房子是右边第九幢。<br>公园就在马路的左侧。<br>我们沿草坪的边缘种上了郁金香<br>那艘船的侧面已过凿穿了。<br>正方形有四条边，而圆形没有边。<br>立方体有六面。<br>我一直是获胜方。<br>在争论中他任何一方都不参加。<br>她有理有据地陈述了自己的意见。<br>他外祖父还健在。<br>为了避开人群他从旁边的门进来。<br>老师想晚点谈论这个并不重要的问题。<br>她总是带在我哥哥那边。<br>你为什么总站在我的对立面？|初中英语单词
初中英语单词|all the same|英[ɔːl ðə seɪm] 美[ɔːl ðə seɪm]|仍然；照样地|Whether they win or lose is all the same to me.<br>All the same, there's some truth in what she says.<br>Thank you all the same.<br>It was raining hard, but we got there in time all the same.|他们是赢是输於我都一样。<br>即便这样，她的话也还是有些道理。<br>不管怎样，还是要谢谢你。<br>雨下得很大，可是我们仍然准时到达。|初中英语单词
初中英语单词|along|英[ə'lɒŋ] 美[ə'lɔːŋ]|prep. 沿着；顺着<br>adv. 向前；一起|We walked along the road.<br>The procession passed along the street.<br>You can go straight along this street to the traffic light.<br>He walked along the mountain ridge.<br>A small boat was drifting along.<br>You can take the letters along with the newspapers.<br>John brought his friends along.|我们沿着路走。<br>游行队伍沿着街道前进。<br>你可以顺着这条街一直走到红绿灯处。<br>他顺着山脊走。<br>一条小船正向前漂流着。<br>秘书把信和报纸一起拿走。<br>约翰带他的朋友一起去。|初中英语单词
初中英语单词|road|英[rəʊd] 美[roʊd]|n. 路；道路；途径；方法|A fall of rocks blocked the road.<br>The road was blocked by a huge rock.<br>The rough road made the car vibrate.<br>This is the high road to democracy.|掉落的岩石把路封住了。<br>道路被一块大石头堵住了。<br>崎岖不平的道路使车颠簸得很厉害。<br>这是通向民主的直接途径。|初中英语单词
初中英语单词|metre|英['miːtə(r)] 美['miːtər]|n. 米；公尺；计量器<br>n.（诗的）韵律；格律<br>=meter（美）.|This cloth is sold by the metre.<br>He cuts off a metre of cloth from the roll.<br>It was sealed by a wall and contained chalky soil to the depth of one metre.<br>Many modernists think that rhyme and metre hamper the poet's free expression.|这种布按米出售。<br>他从那卷布上剪下一米。<br>它被一堵墙密封着，仿如白垩时期的泥土深达一公尺。<br>很多现代派人认为韵律妨碍了诗人的自由发挥。|初中英语单词
初中英语单词|kilometre|英['kɪləmiːtə(r)] 美['kɪləmiːtər]|n. 公里；千米|The bridge is almost 2 kilometres long.<br>Sound travels about one kilometre in three seconds.|这座桥差不多有两公里长。<br>声音在三秒钟里大约传播一公里。|初中英语单词
初中英语单词|coin|英[kɔɪn] 美[kɔɪn]|n. 硬币；金钱<br>vt. 铸造（钱币）；创造（新词）<br>adj. 硬币的；投币的|He put a coin into the insertion slot.<br>He paid me in coin.<br>Father dug up an old coin in the garden.<br>They were granted the right to coin money.<br>The government has decided to coin more one-yuan pieces.<br>Who coined the word "quiz" ?<br>We'd better not coin terms that are intelligible to nobody.<br>The reverse of the coin was stamped with an eagle.<br>This is a coin washing machine.|他往投币孔投入一枚硬币。<br>他付给我的都是硬币。<br>父亲在花园里掘出一枚古钱币。<br>他们获得铸造钱币的授权。<br>政府决定再多铸造一些一元的硬币。<br>谁创造的「quiz」这个词呀？<br>我们最好不要生造谁也不懂的词语。<br>硬币的反面压印的是一只鹰。<br>这是一台投币式洗衣机。|初中英语单词
初中英语单词|keep|英[kiːp] 美[kiːp]|v. 保持；保留；继续；贮藏；经营；遵守；供给；照管；饲养；耽搁；保持食物不变质；健康状况如何；保守（秘密@）；记录；遵守；保护<br>n. 生计；保存；城堡主楼；监狱；围墙|Here's a five-pound note-- you can keep the change.<br>Progress is slow but we keep battling on.<br>Where do you keep the detergent?<br>It is easy to open a shop but hard to keep it.<br>Once you make a promise, you should keep it.<br>She keeps the family on two hundred dollars a week.<br>I have been keeping tropical fish for twenty years.<br>I'll only keep you a few minutes.<br>Finish off the pie-it won't keep.<br>We're all keeping well.<br>She kept her past secret from us all.<br>She kept a diary for over twenty years.<br>Once you make a promise, you should keep it.<br>She wears a hat to keep the sun out of her eyes.<br>Paul earns his keep by helping his elderly landlord.<br>The furniture was in good keep.|这是五镑的钞票－－零钱不用找了。<br>进展虽慢<br>你把清洁剂放在哪儿了？<br>开店容易经营难。<br>一旦做出承诺<br>她一个星期给家里 200 美元。<br>我已经养了 20 年的热带鱼了。<br>我只耽搁你几分钟。<br>把馅饼都吃了吧——搁不住。<br>我们都很健康。<br>她对我们所有人都避而不谈她的过去。<br>她记了二十多年的日记。<br>一旦做出承诺<br>她戴上帽子遮阳，保护眼睛。<br>保罗靠帮助他年迈的房东干活来维持生计。<br>这家具保存得很好。|初中英语单词
初中英语单词|as|英[əz] 美[əz]|adv. 同样地；例如；被认为<br>prep. 作为；如同<br>conj. 因为；像；当……之时；像……一样；结果；尽管|As you said, it is important.|正如你所说，这很重要。|初中英语单词
初中英语单词|next to|英[nekst tu] 美[nekst tu]|邻近；紧靠|Please put the chair next to the table.|请把椅子放在桌子旁边。|初中英语单词
初中英语单词|around|英[ə'raʊnd] 美[ə'raʊnd]|prep. 到处；在……附近；围绕；大约；符合<br>adv. 到处；在周围；现有；闲散地；转弯；掉头<br>adj. 存在的；在风行的|He runs around the playground.<br>I saw him around the place this morning.<br>The earth moves around the sun.<br>There're around 1000 employees in this company.<br>I can't arrange everything around your timetable.<br>We have travelled around in Europe for six weeks.<br>You have 15 minutes to look around.<br>There was more money around in those days.<br>There were several young people sitting around looking bored.<br>He turned around as he heard a noise behind him.<br>He is the most intelligent artist around today.|他在运动场上到处跑。<br>今天早上我看见他就在那儿附近。<br>地球围绕太阳运动。<br>这个公司大约有 1000 名员工。<br>我不可能事事都按照你的时刻表安排。<br>我们在欧洲各地旅行了六个星期。<br>你有 15 分钟的时间到周围看看。<br>那年头比现在富裕。<br>有几个年青人闲坐着，一副无聊的样子。<br>他听到身后有响声，便转过身来。<br>他是如今在世的最有才华的艺术家。|初中英语单词
初中英语单词|lift|英[lɪft] 美[lɪft]|vt. 举起；运送；偷窃；升高；还清；取消<br>vi. 提升<br>n. 举起；提升；电梯；搭便车；帮助；载货量；扒窃|He was too weak even to lift his hand.<br>The helicopter lifted the entire team to the meet.<br>She was caught lifting make-up from the supermarket.<br>The good news lifted my spirits.<br>For some income levels rise after purchase, customers must first purchase the original loan repaid, can lift the selling home mortgages.<br>They decided to lift the embargo.<br>They want to lift the rate of enjoyment too.<br>Soft angelic voices lift you into higher realms.<br>With a graceful lift of her hand, she dismissed him.<br>Winning the scholarship gave her a tremendous lift.<br>He pressed the button to call the lift.<br>It was pouring rain and he just needed a lift.<br>They wouldn't lift a finger to help us.<br>Could you help me lift this iron plate?|他虚弱得连手都抬不起来。<br>直升飞机把全队空运到运动会现场<br>她在超级市场偷窃化妆品时被捉住了。（《牛津高阶英汉双解词典》）<br>这好消息使我精神大振。<br>对于一些收入水平上升的二次购房客户，原先必须将首次购房的贷款还清后，才可以解除抵押出售旧房。<br>他们决定解除禁运。<br>他们还想提升快乐率。<br>温柔的天使之音将领您提升到更高的领域。<br>她轻盈地一抬手把他打发走了。<br>她获得奖学金後受到极大的鼓舞。<br>他按键招呼电梯。<br>外面下着这么大的雨，而他只是想搭个便车而已。<br>他们不愿采取任何行动帮助我们。<br>你能帮助我抬起这块铁板吗？|初中英语单词
初中英语单词|busy|英['bɪzi] 美['bɪzi]|adj. 忙的；繁忙的；热闹的；（电话）占线的<br>vt. 使忙于|He is busy with some important work.<br>He was busy getting ready for his journey.<br>The shop looked out into a busy street.<br>The traffic was at its height at the busy junction.<br>I tried to call Mr. Cooper, but the line was busy.<br>To forget his trouble, he busied himself in his garden.<br>As the final examinations draw near, students begin to busy themselves with reviewing.|他正忙于处理一些重要的事情。<br>他正忙于准备旅行。<br>这商店濒临近一条繁忙的街道。<br>在繁忙的交叉路口，车辆来往正处于高峰。<br>我想给库柏先生打个电话，但一直占线。<br>为了把烦恼忘却，他让自己忙于花园的工作。<br>当期末考试即将来临时，同学们开始忙于复习。|初中英语单词
初中英语单词|centre|英['sentə(r)] 美['sentər]|n. 中心；集中点<br>v. 居中；使集中<br>=center<美><br>adj. 中心的；中央的|That new shopping centre is a real eyesore.<br>The new library was built in the centre of the campus.<br>Children like to be the centre of attention.<br>Please centre the subheads.<br>Our thoughts centre upon one idea.<br>Our thoughts centre upon this important problem.<br>Pupils are the centre parts of one's eyes.<br>The building stands cheek by jowl with the centre square.<br>Only centre government has the power to mobilize the country's economic resources.|那个新的购物中心真是难看极了。<br>新图书馆建在校园的中心。<br>儿童喜欢引人注意。<br>小标题一律居中。<br>我们的思想集中在一个主意上。<br>我们的思想集中在这个重要问题上。<br>瞳孔是人眼的中心部位。<br>这幢建筑坐落在紧紧靠着中心广场的地方。<br>只有中央政府才有权力调动国家的经济资源。|初中英语单词
初中英语单词|soccer|英['sɒkə(r)] 美['sɑːkər]|n. 足球，英式足球|People love to play soccer.<br>The boy who is speaking to Helen enjoys playing soccer.<br>The Government intends to clamp down on soccer hooliganism.<br>In soccer, only the goal-keeper may play the ball with his hands.<br>The old man put a veto on soccer in his garden.|人们喜欢踢足球。<br>正在跟海伦谈话的那男孩喜爱踢足球。<br>政府拟采取措施严禁在足球比赛中闹事。<br>在足球运动中只有守门员可以用手触球。<br>老人禁止在他的花园里踢足球。|初中英语单词
初中英语单词|quite|英[kwaɪt] 美[kwaɪt]|adv. 相当；完全；十分；很|He was quite young.<br>The boy has quite recovered.<br>This is a good system but quite expensive.<br>It's quite necessary for students to do the eye exercises.<br>On the face of it, it seems quite reasonable.|他相当年轻。<br>这男孩已彻底恢复健康。<br>这种装置很好，但十分昂贵。<br>对学生们来说，做眼保健操是十分必要的。<br>从表面看，这似乎很合理。|初中英语单词
初中英语单词|month|英[mʌnθ] 美[mʌnθ]|n. 月，月份|He shut himself away for a month to catch up on his academic work.<br>He's asking 80 a month rent for that flat.<br>July is the hottest month in a year in my hometown.<br>His baby is six months old.<br>Profits have reached a new low this month.|他与世隔绝一个月，力图把功课赶上去。<br>那套房间月租他要 80 英镑。<br>在我的家乡，七月是一年里最热的一月。<br>他的孩子有六个月大了。<br>这个月利润下降到新的低点。|初中英语单词
初中英语单词|village|英['vɪlɪdʒ] 美['vɪlɪdʒ]|n. 村庄，乡村，村|This village is as beautiful as the fairyland.<br>There are two main nationalities in our village.|这个小村庄美如仙境。<br>我们村子有两大民族。|初中英语单词
初中英语单词|yesterday|英['jestədeɪ] 美['jestərdeɪ]|n. 昨天；近来<br>adv. 昨天；近来|I saw him yesterday at the park.|我昨天在公园见到了他。|初中英语单词
初中英语单词|November|英[nəʊ'vembə(r)] 美[noʊ'vembər]|n. 十一月|November is the high tourist season for southeast Asia.|十一月是东南亚旅游的旺季。|初中英语单词
初中英语单词|hope|英[həʊp] 美[hoʊp]|v. 希望；期望；盼望<br>n. 希望|I hope to announce the winner shortly.<br>After these dry days, everyone hopes for rain.<br>I hope he will be adequate to the job.<br>And hope is what Yad Vashem is all about!<br>The doctors held out no hope of recovery.<br>I called in the hope of finding her at home.<br>Do you have any hope that he'll come?|我希望马上宣布胜利者的名字。<br>干燥的天气之后，人人都希望下雨。<br>我希望他将胜任这一工作。<br>而盼望正是大屠杀纪念馆的主旨。<br>医生们对痊愈不抱希望。<br>我希望她能在家才给她打的电话。<br>你想他会来吗？|初中英语单词
初中英语单词|composition|英[ˌkɒmpə'zɪʃn] 美[ˌkɑːmpə'zɪʃn]|n. 成分；作品；组织；作文；合成物|We examined the rock to find out its composition.<br>He played many of his compositions for me.<br>'Swan Lake' is one of Tchaikovsky's best-known compositions.<br>I have no idea who decided the composition of the committee.<br>You've made several grammatical mistakes in the composition.<br>The composition has copper and zine in it.|我们检验了这一石块，想弄清它的构成成分。<br>他为我演奏了他的许多乐曲。<br>《天鹅湖》是柴可夫斯基最著名的作品之一。<br>我不知道委员会的成员是由谁选定的。<br>你的作文中犯了几处语法错误。<br>这种合成物里有铜和锌。|初中英语单词
初中英语单词|remember|英[rɪ'membə(r)] 美[rɪ'membər]|v. 记得；想起；记住，铭记；回忆；提及|I remember his objecting to the scheme.<br>Remember to write us when you get there.<br>I'm sorry, I can't remember your name.<br>I really can't remember what you said last night.<br>I shall always remember your kindness to us.<br>That was a beautiful summer, as I remember.<br>Please remember me to your family.|我记得他曾经反对该计划。<br>到了那儿别忘了给我们写信。<br>对不起，我想不起你的名字了。<br>我确实记不得你昨天晚上说了什么。<br>我将永远记住你对我们的好。<br>记忆中，那是一个美丽的夏日。<br>请代我问候你的家人。|初中英语单词
初中英语单词|bit|英[bɪt] 美[bɪt]|n. 少量；小块；片刻；马嚼子；（烟头等的）咬嘴；钻头；钥匙齿；<美口>一角二分半钱；[计]比特<br>v. 给（马等）上嚼口；约束<br>动词 bite 的过去式和过去分词|He only put a bit on his plate to make fashion.<br>He assembled the model aircraft bit by bit.<br>Let the broth simmer down a bit more.<br>The horse was champing the bit.<br>A power drill will chatter if the bit is loose.|他只是拨了一点食物到盘子里做做样子。<br>他一块一块地装配飞机模型。<br>让肉汤炖得再久一些吧。<br>这匹马格格地咬着马嚼子。<br>如果钻头松动，电钻会嘎嘎作响|初中英语单词
初中英语单词|a bit|英[ə bɪt] 美[ə bɪt]|有点儿，一点，少量|Don't you think the radio's a bit loud?<br>Your copy of the dictionary is looking a bit the worse for wear.<br>His ideas on this subject are a bit foggy.<br>These trousers are a bit tight.<br>I feel a bit rough I'm going to bed.<br>An airmail letter to china normally cost50 cents, but this letter seem a bit thick.<br>It's a bit fresh this morning, isn't it?<br>The dish tastes a bit sweet.|你觉得收音机的声音是不是太吵了点？<br>你这本词典看来有点儿太旧了。<br>他对这个问题的看法有些模糊。<br>这条裤子有点儿紧。<br>我有点儿不舒服－－想去睡觉了。<br>寄往中国的航空信一般是 50 美分，不过这封信好像厚一点。<br>今天早晨有点儿凉丝丝的吧？<br>这菜有点儿甜味。|初中英语单词
初中英语单词|healthy|英['helθi] 美['helθi]|adj. 健康的|Although my uncle is old, he looks very strong and healthy.<br>A healthy shoot should form a strong graft.<br>His inmost thoughts are not healthy.|我的叔叔虽然老了，但他看上去还是很健壮。<br>健康的嫩枝可以长成强壮的接穗。<br>他心灵深处的思想是不健康的。|初中英语单词
初中英语单词|ago|英[ə'ɡəʊ] 美[ə'ɡoʊ]|adv. 以前|The dinosaurs disappeared long ago.<br>A hundred years ago, Britain had a large empire.|恐龙很久以前就绝种了。<br>一百年以前，英国有一个很大的帝国。|初中英语单词
初中英语单词|enjoy|英[ɪn'dʒɔɪ] 美[ɪn'dʒɔɪ]|v. 享受；喜欢|Now that I am free, I can enjoy music for a while.<br>They enjoy the fruits of their hard labor.<br>How did you enjoy the concert?<br>I enjoy reading Mark Twain's autobiography.|既然有空，我可以享受一下音乐。<br>他们享受自己辛勤努力的成果。<br>你喜欢那场音乐会吗？<br>我喜欢读马克•吐温的自传。|初中英语单词
初中英语单词|world|英[wɜːld] 美[wɜːrld]|n. 世界；地球；世人；世间；领域<br>adj. 世界的|He is the richest man in the world.<br>There is a map of the world on the wall.<br>Long ago, people believed that the world was flat.<br>The world's natural ecosystems act as a buffer.<br>Much of the world is covered by sea.<br>He wanted to tell the news to the world.<br>The world certainly knows from whence.<br>British television is the envy of the world.<br>I'll prove to the world that he was right.<br>Let us light up the world with our brainchild!<br>All the beautiful sentiments in the world weigh less than a single action.<br>I already began to feel that much of what the world was seeking was superficial.<br>The world of science always contains a few anomalies.<br>We should steadily open more fields to the outside world.<br>Mr. Wang has been a smash hit in the business world.<br>I suppose all the compositions are world famous pieces.<br>World energy demand is increasing at a rate of about 3% per year.|他是世界上最富有的人。<br>墙上有张世界地图。<br>很久以前人们相信地球是平的。<br>地球上的自然生态系统起着一种缓冲的作用。<br>地球的很大一部分都被大海覆盖着。<br>他要把这件事告诉每一个人。<br>世人当然了解小布什的血缘身世。<br>英国电视节目令世人羡慕。<br>我将向世人证明他是对的。<br>让我们的色彩为世间增添欢笑。<br>世间所有美丽的情感抵不过一次可爱的行动。<br>我开始觉得很多世间所追寻的东西是很浮浅的。<br>科学领域里总会出现反常情况。<br>稳步扩大对外开放领域。<br>王先生在商业领域里十分成功。<br>我想所有的曲子都是世界名曲吧。<br>世界能源的需求量正以每年百分之三的速度递增。|初中英语单词
初中英语单词|a moment ago||一会儿之前，刚才|My passport has disappeared: it was in my pocket a moment ago.<br>That's funny he was here a moment ago and now he's gone.<br>He was here a moment ago.<br>The newspaper came a moment ago.|我的护照丢了，刚才还在口袋里呢。<br>真是怪事——他刚才还在这里，转眼就走了。<br>他刚才还在这里。<br>报纸刚刚到。|初中英语单词
初中英语单词|just now|英[dʒʌst naʊ] 美[dʒʌst naʊ]|刚才；此刻|Just now he came by me.<br>I'm sorry I snapped at you just now.<br>Business is slack just now.<br>Your boyfriend called you just now.<br>Don't forget what I told you just now.<br>What were you alluding to just now?<br>He was at home just now.|他刚刚从我身边走过。<br>对不起，我刚才不该对你嚷嚷。<br>目前生意萧条不振。<br>刚才你男朋友给你打电话了。<br>别把刚才跟你说的事忘了。<br>你刚才指的是什么？<br>他刚才在家。|初中英语单词
初中英语单词|reply|英[rɪ'plaɪ] 美[rɪ'plaɪ]|v. 回答；答复；回应<br>n. 回答；答复|What a sage reply you gave!<br>He gave me no chance to reply to his question.<br>I'm rather hazy about how to reply.<br>It's very odd that she didn't reply to our letter.<br>It is odd that they did not reply our letter.<br>She is the only person who reply to the invitation.<br>He disdained to reply to the insult.<br>Thank you for your prompt reply to our telegram.<br>His evasive reply prompted me to ask him another question.<br>The softness of his reply calmed her down.<br>She sneered her contempt for his reply.<br>The telegram asked for an instant reply.|多聪明的回答啊！<br>他没有给我回答他问题的机会。<br>我不清楚如何回答。<br>她没有回我们的信是件很奇怪的事。<br>他们没有给我们回信，这真奇怪。<br>她是唯一对邀请做了回应的人。<br>他不屑于理会那侮辱。<br>多谢您对我们电报的即刻答复。<br>他闪烁其词的回答促使我提出又一个问题。<br>他温和的回答使她冷静下来。<br>她对他的回答嗤之以鼻。<br>这封电报要求立即回覆。|初中英语单词
初中英语单词|by the way|英[baɪ ðə weɪ] 美[baɪ ðə weɪ]|顺便说；顺便问一下|Love to Bob, by the way.<br>By the way, do you live with your parents or have a place of your own?<br>Not bad. By the way, how is your mother? Is she all right?<br>Louisa have go abroad, but that's just by the way.<br>By the way, what happened to all the money I gave you?<br>By the way, why not drop in for a drink this evening?|请便代向鲍勃问好。<br>顺便问一句，你是同父母一起生活还是自己生活？<br>还好。顺便问一下，你母亲怎么样？她好吗？<br>路易莎出国了，不过这只是顺便说说。<br>顺便问一下，我给你的那些钱呢？<br>顺便说一句，今晚到我家串门喝一杯怎么样？|初中英语单词
初中英语单词|cold|英[kəʊld] 美[koʊld]|adj. 冷的；寒冷的；冷酷的；冷淡的；冷静的<br>n. 寒冷；感冒；伤风<br>adv. 完全地；彻底地|We lunched out on cold meat and salad.<br>It was bitterly cold that night.<br>His cold manner holds people off.<br>Our enthusiasm for the plan faded in the cold light of day and we realized how impractical it really was.<br>The dampness is unpleasant,not to mention the cold.<br>Put on your coat, or you may catch a cold.<br>A good sweat often cures a cold.<br>Get out of those wet clothes before you catch cold.<br>John knew the business cold.<br>The actor had his lines down cold.|我们午饭在外面吃的是凉肉和色拉。<br>那个夜晚，天气十分寒冷。<br>他的冷淡态度使人们不敢接近他。<br>经过客观冷静的分析，我们对这个计划的热情消失了，因为我们认识到它实在不实际了。<br>潮湿就令人不快，更不必说寒冷了。<br>穿上你的外套，否则你会感冒的。<br>好好发一次汗往往可以治愈伤风。<br>把湿衣服脱掉，不然要伤风的。<br>约翰对此事了如指掌。<br>这演员把台词背得滚瓜烂熟了。|初中英语单词
初中英语单词|diary|英['daɪəri] 美['daɪəri]|n. 日记；日记簿|His father ordered that he (should) keep a diary in English.<br>I keep a draiy every day.<br>There is no further reference to him in her diary.<br>The preface of this diary recounted her life.<br>This diary is interleaved with blotting-paper.|他的父亲规定他要用英文写日记。<br>我每天记日记。<br>她的日记中没有进一步提到他。<br>这本日记的前言叙述了她的生活。<br>这个日记簿插有吸墨纸。|初中英语单词
初中英语单词|India|英['ɪndɪə] 美['ɪndɪə]|n. 印度|India was once a British colony.<br>He worked his passage from England to India.|印度曾是英国的殖民地。<br>他靠在船上做工赚取船费才能从英国乘船到印度。|初中英语单词
初中英语单词|rain|英[reɪn] 美[reɪn]|n. 雨；雨水<br>v. 下雨；（雨点般）落下|There will be rain in all parts of the country.<br>The boys went for a walk despite of the rain.<br>The rain beat against the windows.<br>Too much rain accounted for the poor crop.<br>There is plenty of rain this year.<br>If it doesn't rain tomorrow, we'll have a picnic.<br>Tears rained down her cheeks.<br>The suitcase burst open and its contents rained on the floor.|全国各地将有雨。<br>尽管下雨，孩子们还是去散步。<br>雨水拍打在窗户上。<br>太多的雨水导致庄稼歉收。<br>今年雨水充足。<br>如果明天不下雨，我们就去野餐。<br>眼泪顺着她的面颊如雨点般落下。<br>手提箱裂开了，里面的东西纷纷落在地板上。|初中英语单词
初中英语单词|memory|英['meməri] 美['meməri]|n. 记忆力；回忆；记忆；[计]存储|He has a good visual memory.<br>She is always moaning about her bad memory.<br>His best music was inspired by the memory of his mother.<br>These frightful experiences are branded on his memory.<br>I have only an indistinct memory of my grandfather.<br>This computer has a 256K memory.|他有良好的视觉记忆力。<br>她总是抱怨自己的记性不好。<br>他最好的乐曲创作灵感来自怀念他的母亲。<br>这些可怕的经历深深印入他的记忆。<br>我对祖父只有模糊的印象。<br>这台计算机的内存是 256K。|初中英语单词
初中英语单词|pack|英[pæk] 美[pæk]|n. 一群；一副；包裹；一包<br>v. 包装；解雇；塞满；收拾行李；佩戴|The hare could find no safety, a pack of jackals had it in the wind.<br>A pack of cards has been spread on the table.<br>Try to pair this card with one exactly the same from the other pack.<br>The traveler took out a bottle of water from the pack on his back.<br>To carry care to bed is to sleep with a pack on your back.<br>He paid $4 for a pack of cigarettes.<br>In order to avoid any possible damage in transit, we would ask you to pack the goods in strong but small wooden cases.<br>Please don't crease the blouse when you pack it.<br>He was told by the boss to pack up.<br>This case is full, I can't pack any more clothes in.<br>I want to go to Shanghai,so I pack my luggage.<br>I crawled into my tent to pack my things up.|野兔无处逃生，一群豺狗在追踪它。<br>一副牌在桌被传播了。<br>设法从另一副牌中取出一张和这张完全一样的牌。<br>那位旅行者从他的背包中拿出了一瓶水。<br>带着担忧上床睡觉，就彷佛是躺在包裹上睡觉。<br>他花了 4 美元买了包烟。<br>为避免运送过程中的任何损坏，我方希望贵方用牢固且小巧的木箱来包装这些货物。<br>包装时请不要将衬衫弄绉了。<br>老板把他解雇了。<br>这箱子已装满，我塞不进更多的衣服。<br>我要去上海<br>我爬进帐篷去收拾我的东西。|初中英语单词
初中英语单词|everything|英['evriθɪŋ] 美['evriθɪŋ]|pron. 一切；所有事物；形势；情况；最重要的东西|Thank you for everything.<br>Money isn't everything.<br>I resent having to get his permission for everything I do.<br>I remembered in minute detail everything that had happened.<br>Everything in the capital is now quiet.<br>I found everything in good order.<br>Has everything been allowed for in your plan?<br>In business, timing is everything.|感谢你做的一切。<br>金钱不是一切。<br>我讨厌做每件事都要得到他的许可。<br>我对发生的每件事的细枝末节都记得清清楚楚。<br>目前首都的形势很平静。<br>我发现一切情况良好。<br>你的计划是否把各种情况都考虑进去了？<br>在商业中，时间就是最重要。|初中英语单词
初中英语单词|umbrella|英[ʌm'brelə] 美[ʌm'brelə]|n. 伞；雨伞；庇护|The wind blew my umbrella inside out.<br>You should take an umbrella just as a precaution.<br>Can you identify your umbrella among this lot?<br>She was holding up an umbrella.<br>An umbrella will protect you from the rain.<br>Those small states are under the umbrella of the super power.|风把我的伞吹得翻过去了。<br>你该带把伞，有备无患。<br>你能在这些伞中认出你自己的伞吗？<br>她打着雨伞。<br>雨伞可以保护你不致雨淋。<br>那些小国在超级大国的庇护之下。|初中英语单词
初中英语单词|dry|英[draɪ] 美[draɪ]|adj. 干的；干燥的；干旱的；口渴的；枯燥的<br>v.（使）变干|The soil is too dry for planting.<br>After these dry days, everyone hopes for rain.<br>We should prepare for more dry weather.<br>The book is as dry as dust.<br>The bread will dry out if it is left on the table.<br>I dry my hands and face with the towel.|土太干了，不能种东西。<br>干燥的天气之后，人人都希望下雨。<br>我们应该为更干旱的天气做准备。<br>这本书枯燥无味。<br>不要把面包放在桌上，它会变干的。<br>我用毛巾擦干了双手和面部。|初中英语单词
初中英语单词|newspaper|英['njuːzpeɪpə(r)] 美['nuːzpeɪpər]|n. 报纸；新闻纸|He unfurled the newspaper and began to read.<br>I learned this news from the newspaper.<br>Only when he read the newspaper did he know the story.<br>His name leapt out at me from the newspaper.<br>We have subscribed to an evening newspaper.<br>The associated press reported that as a result of glossy paper costs higher than the average newsprint, not to advertisements, the newspaper is not possible for a new look.|他展开报纸开始阅读。<br>我从报纸上得知这个消息。<br>他看了报纸后才知道那则报导。<br>报纸上他的名字一下子跳入我的眼帘。<br>我们已经订阅了一份晚报。<br>美联社报道，由于光面纸成本比普通新闻纸高，没有拉到广告，这家报纸不可能改版。|初中英语单词
